CountyCode,CountyName,ElectionName,PrecinctID,RegisteredTotal,RegisteredRepublican,RegisteredDemocrat,ContestName,District,YesVotes,NoVotes,key
BRE,Brevard,2024 General Election,105,5612,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2601,1829,BRE105
BRE,Brevard,2024 General Election,106,2593,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1012,1223,BRE106
BRE,Brevard,2024 General Election,107,3363,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1422,1335,BRE107
BRE,Brevard,2024 General Election,108,4338,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2005,1001,BRE108
BRE,Brevard,2024 General Election,109,5322,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2394,1853,BRE109
BRE,Brevard,2024 General Election,111,3242,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1440,1072,BRE111
BRE,Brevard,2024 General Election,112,2391,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,985,982,BRE112
BRE,Brevard,2024 General Election,113,6699,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,3242,2153,BRE113
BRE,Brevard,2024 General Election,114,6061,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2727,2199,BRE114
BRE,Brevard,2024 General Election,115,2781,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1256,975,BRE115
BRE,Brevard,2024 General Election,116,2270,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,971,956,BRE116
BRE,Brevard,2024 General Election,120,3092,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1419,913,BRE120
BRE,Brevard,2024 General Election,121,2081,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,841,960,BRE121
BRE,Brevard,2024 General Election,122,5431,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2606,1776,BRE122
BRE,Brevard,2024 General Election,125,3584,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1667,1299,BRE125
BRE,Brevard,2024 General Election,126,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE126
BRE,Brevard,2024 General Election,127,923,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,432,320,BRE127
BRE,Brevard,2024 General Election,128,4,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1,4,BRE128
BRE,Brevard,2024 General Election,129,77,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,28,34,BRE129
BRE,Brevard,2024 General Election,130,325,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,162,77,BRE130
BRE,Brevard,2024 General Election,131,1843,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,839,673,BRE131
BRE,Brevard,2024 General Election,132,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE132
BRE,Brevard,2024 General Election,133,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE133
BRE,Brevard,2024 General Election,135,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE135
BRE,Brevard,2024 General Election,137,1728,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,668,869,BRE137
BRE,Brevard,2024 General Election,138,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE138
BRE,Brevard,2024 General Election,139,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE139
BRE,Brevard,2024 General Election,140,0,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE140
BRE,Brevard,2024 General Election,200,1712,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,838,625,BRE200
BRE,Brevard,2024 General Election,201,5852,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2536,2305,BRE201
BRE,Brevard,2024 General Election,203,3805,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1773,1200,BRE203
BRE,Brevard,2024 General Election,204,4270,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1947,1485,BRE204
BRE,Brevard,2024 General Election,205,7250,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2923,3199,BRE205
BRE,Brevard,2024 General Election,206,2590,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1198,875,BRE206
BRE,Brevard,2024 General Election,207,2032,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1004,659,BRE207
BRE,Brevard,2024 General Election,208,1903,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,941,666,BRE208
BRE,Brevard,2024 General Election,209,2659,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1232,658,BRE209
BRE,Brevard,2024 General Election,211,3462,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1720,1064,BRE211
BRE,Brevard,2024 General Election,212,1836,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,852,481,BRE212
BRE,Brevard,2024 General Election,213,546,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,229,113,BRE213
BRE,Brevard,2024 General Election,214,2633,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1165,710,BRE214
BRE,Brevard,2024 General Election,215,1260,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,616,449,BRE215
BRE,Brevard,2024 General Election,216,6250,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2777,2250,BRE216
BRE,Brevard,2024 General Election,217,3352,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1563,1361,BRE217
BRE,Brevard,2024 General Election,218,551,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,245,214,BRE218
BRE,Brevard,2024 General Election,219,4604,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2252,1423,BRE219
BRE,Brevard,2024 General Election,220,716,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,339,231,BRE220
BRE,Brevard,2024 General Election,221,2902,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1290,1099,BRE221
BRE,Brevard,2024 General Election,222,3174,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1564,1086,BRE222
BRE,Brevard,2024 General Election,223,691,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,286,200,BRE223
BRE,Brevard,2024 General Election,224,5036,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2413,1762,BRE224
BRE,Brevard,2024 General Election,225,10,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,7,1,BRE225
BRE,Brevard,2024 General Election,226,3021,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1497,890,BRE226
BRE,Brevard,2024 General Election,227,176,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,82,68,BRE227
BRE,Brevard,2024 General Election,228,1187,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,573,383,BRE228
BRE,Brevard,2024 General Election,229,461,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,159,234,BRE229
BRE,Brevard,2024 General Election,230,10,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,5,4,BRE230
BRE,Brevard,2024 General Election,231,1391,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,595,289,BRE231
BRE,Brevard,2024 General Election,233,846,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,417,147,BRE233
BRE,Brevard,2024 General Election,235,2423,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1132,903,BRE235
BRE,Brevard,2024 General Election,236,533,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,247,216,BRE236
BRE,Brevard,2024 General Election,237,879,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,414,372,BRE237
BRE,Brevard,2024 General Election,240,1281,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,550,593,BRE240
BRE,Brevard,2024 General Election,241,1,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,0,0,BRE241
BRE,Brevard,2024 General Election,242,5215,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2284,2089,BRE242
BRE,Brevard,2024 General Election,243,572,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,218,276,BRE243
BRE,Brevard,2024 General Election,300,1452,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,668,291,BRE300
BRE,Brevard,2024 General Election,301,552,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,187,288,BRE301
BRE,Brevard,2024 General Election,302,4540,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1884,2029,BRE302
BRE,Brevard,2024 General Election,303,5664,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2566,1609,BRE303
BRE,Brevard,2024 General Election,304,4981,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,2315,1634,BRE304
BRE,Brevard,2024 General Election,305,2603,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1244,975,BRE305
BRE,Brevard,2024 General Election,306,1477,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,661,289,BRE306
BRE,Brevard,2024 General Election,307,1452,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,623,587,BRE307
BRE,Brevard,2024 General Election,308,3740,0,0,Amendment No. 3: Adult Personal Use of Marijuana, ,1746,1053,BRE308
