Geography,Geographic Area Name,median_household_income
1400000US12009065238,Census Tract 652.38; Brevard County; Florida,124792
1400000US12009065239,Census Tract 652.39; Brevard County; Florida,45962
1400000US12009065240,Census Tract 652.40; Brevard County; Florida,41786
1400000US12009066101,Census Tract 661.01; Brevard County; Florida,81637
1400000US12009066103,Census Tract 661.03; Brevard County; Florida,66544
1400000US12009066104,Census Tract 661.04; Brevard County; Florida,111179
1400000US12009066200,Census Tract 662; Brevard County; Florida,84479
1400000US12009066301,Census Tract 663.01; Brevard County; Florida,105399
1400000US12009066302,Census Tract 663.02; Brevard County; Florida,99921
1400000US12009066400,Census Tract 664; Brevard County; Florida,75858
1400000US12009066500,Census Tract 665; Brevard County; Florida,118988
1400000US12009066600,Census Tract 666; Brevard County; Florida,121731
1400000US12009066700,Census Tract 667; Brevard County; Florida,98439
1400000US12009066800,Census Tract 668; Brevard County; Florida,118750
1400000US12009066900,Census Tract 669; Brevard County; Florida,88523
1400000US12009067100,Census Tract 671; Brevard County; Florida,82829
1400000US12009068101,Census Tract 681.01; Brevard County; Florida,84983
1400000US12009068102,Census Tract 681.02; Brevard County; Florida,123750
1400000US12009068400,Census Tract 684; Brevard County; Florida,100593
1400000US12009068501,Census Tract 685.01; Brevard County; Florida,80966
1400000US12009068502,Census Tract 685.02; Brevard County; Florida,80823
1400000US12009068601,Census Tract 686.01; Brevard County; Florida,61314
1400000US12009068603,Census Tract 686.03; Brevard County; Florida,53807
1400000US12009068604,Census Tract 686.04; Brevard County; Florida,79160
1400000US12009069100,Census Tract 691; Brevard County; Florida,105000
1400000US12009069200,Census Tract 692; Brevard County; Florida,59716
1400000US12009069300,Census Tract 693; Brevard County; Florida,91442
1400000US12009069400,Census Tract 694; Brevard County; Florida,142891
1400000US12009069700,Census Tract 697; Brevard County; Florida,64167
1400000US12009069801,Census Tract 698.01; Brevard County; Florida,117273
1400000US12009069802,Census Tract 698.02; Brevard County; Florida,73553
1400000US12009069903,Census Tract 699.03; Brevard County; Florida,97121
1400000US12009069904,Census Tract 699.04; Brevard County; Florida,134896
1400000US12009069905,Census Tract 699.05; Brevard County; Florida,-
1400000US12009069906,Census Tract 699.06; Brevard County; Florida,29163
1400000US12009069907,Census Tract 699.07; Brevard County; Florida,77538
1400000US12009071100,Census Tract 711; Brevard County; Florida,92762
1400000US12009071201,Census Tract 712.01; Brevard County; Florida,80863
1400000US12009071202,Census Tract 712.02; Brevard County; Florida,-
1400000US12009071203,Census Tract 712.03; Brevard County; Florida,101367
1400000US12009071204,Census Tract 712.04; Brevard County; Florida,51577
1400000US12009071205,Census Tract 712.05; Brevard County; Florida,130938
1400000US12009071335,Census Tract 713.35; Brevard County; Florida,84872
1400000US12009071337,Census Tract 713.37; Brevard County; Florida,80333
1400000US12009071339,Census Tract 713.39; Brevard County; Florida,77074
1400000US12009071341,Census Tract 713.41; Brevard County; Florida,74063
1400000US12009071342,Census Tract 713.42; Brevard County; Florida,62934
1400000US12009071343,Census Tract 713.43; Brevard County; Florida,82958
1400000US12009071344,Census Tract 713.44; Brevard County; Florida,66088
1400000US12009071345,Census Tract 713.45; Brevard County; Florida,58526
1400000US12009071346,Census Tract 713.46; Brevard County; Florida,107417
1400000US12009071347,Census Tract 713.47; Brevard County; Florida,67240
1400000US12009071348,Census Tract 713.48; Brevard County; Florida,62033
1400000US12009071349,Census Tract 713.49; Brevard County; Florida,70714
1400000US12009071350,Census Tract 713.50; Brevard County; Florida,78283
